Area_Code,Land_Zoning,Business_Acreage,River_Proximity,Pollution_Level,Rooms_Avg,Old_Units_Rate,Distance_Centers,Highway_Access,Tax_Rate,Student_Teacher_Ratio,Demographic_Index,Low_Status_Pop,Median_House_Value
0.16,21.86,5.9,-0.16,0.42,5.58,70.2,7.87,6.98,330.07,19.21,389.27,18.41,18.56
0.29,21.9,5.79,-0.02,0.47,6.08,34.68,8.07,7.12,330.05,19.09,390.2,9.26,24.37
0.13,22.11,5.85,-0.08,0.38,6.2,79.29,8.19,6.85,329.99,19.01,376.06,10.14,20.44
0.34,21.91,5.92,0.22,0.36,6.43,48.94,7.89,6.89,329.86,19.02,374.47,9.64,24.35
0.23,22.26,5.87,-0.02,0.43,6.77,17.65,7.79,7.01,329.93,19,393.81,6.56,26.2
0.01,22.05,5.91,0.01,0.32,6.57,12.97,7.42,6.9,329.97,19.07,396.2,5.86,24.38
0.31,22.02,5.77,0.06,0.32,6.37,8.88,7.37,6.92,329.84,19.22,377.09,3.72,24.76
0.29,21.91,5.88,0,0.5,6.84,6.74,8.91,6.96,329.93,19.02,385.97,3.48,29.64
0.47,22.07,5.72,0.17,0.32,8.15,8.37,8.87,6.86,330.07,19.12,396.87,3.4,42.72
-0.1,79.94,3.63,-0.06,0.46,6.06,32.14,9.2,0.9,315.14,16.33,392.89,6.52,21.78
-0.01,80.01,3.55,0.02,0.44,5.84,18.85,9.24,1.07,314.96,16.37,395.21,9.31,20.91
0.14,90.26,3.68,-0.07,0.22,7.38,34.33,6.24,2.87,244.08,15.75,386.23,3.25,44.04
0.54,19.99,4.09,-0.13,0.58,8.57,86.93,1.7,4.84,263.81,12.98,389.82,5.13,49.88
0.71,20.11,4.08,-0.06,0.77,7.29,99.88,1.76,4.94,264.07,12.98,383.23,7.92,36.09
0.73,19.93,4.03,0,0.55,6.86,99.89,1.85,5.07,263.92,13.05,391.76,6.76,29.92
0.45,20,3.86,-0.04,0.6,7.26,81.97,1.99,4.98,264.03,13.02,392.79,9.55,33.74
0.53,20.18,3.94,-0.07,0.69,7.46,89.31,2.16,4.95,263.98,12.88,388.37,7.23,43.07
0.2,19.94,4.09,-0.14,0.73,8.36,91.38,2.2,5,264.13,13.11,386.88,5.9,48.74
0.72,20.18,3.98,-0.01,0.62,7.23,94.61,2.13,4.83,263.91,13.02,393.56,11.26,30.94
0.52,20.07,4.2,-0.15,0.59,7.2,91.63,1.93,5.05,264.06,13.02,387.87,8.17,36.69
0.64,19.94,4.01,0.08,0.79,5.48,62.71,1.79,5.04,263.97,13,392.39,10.41,22.71
0.95,20.06,3.99,0.01,0.82,7.07,84.62,2.2,4.96,263.98,12.95,383.96,14.8,30.94
0.44,20.1,3.94,-0.15,0.67,8.12,66.9,2.5,5.1,263.98,13.02,384.62,7.44,50.04
0.5,20.06,3.98,-0.03,0.58,7.43,52.71,2.77,4.89,263.92,13.05,390.32,3.07,43.51
0.1,19.84,6.94,0.92,0.38,5.95,61.61,3.96,3.11,223,18.43,391.3,13.64,20.75
0.44,19.93,7.03,0.03,0.38,5.87,42.15,4.34,3.02,222.99,18.55,388.46,12.99,21.35
0.02,19.98,7.06,0.13,0.52,6.51,16.34,4.44,2.97,223.02,18.57,397.04,6.57,25.1
0.23,19.99,6.88,-0.19,0.51,6.57,58.88,3.79,3,223.01,18.63,394.84,7.73,24.29
0.22,20.06,6.83,1.01,0.6,7.59,51.8,4.19,2.99,223.08,18.72,390.71,6.59,35.12
-0.04,40.02,6.23,0.98,0.51,6.75,32.78,4.04,4.12,254.09,17.52,396.94,3.49,32.4
0.14,39.87,6.46,0.07,0.3,6.68,42.84,4.25,3.89,253.89,17.55,396.78,3.11,31.83
0.12,40.04,6.3,1.02,0.55,7.26,49.21,4.75,3.92,254.09,17.55,389.1,5.93,33.2
0,40.06,6.19,0.92,0.35,6.74,27.5,4.74,4.1,253.88,17.52,393.24,4.09,33.27
0.09,40.06,6.45,-0.03,0.41,6.57,32.06,4.1,3.94,254.06,17.57,396.97,7.47,29.12
0.17,20.11,3.58,-0.08,0.47,6.76,32.24,4.13,5.09,216.06,14.98,396.85,4.75,35.07
0.05,20.08,3.33,0.11,0.64,7.81,64.49,4.69,5.17,215.81,14.79,387.6,3.62,45.34
0.1,20.05,3.41,0,0.75,6.9,37.1,5.26,4.96,216.01,14.94,392.13,4.66,35.49
0.22,19.99,3.34,1.19,0.5,7.82,49.81,5.14,5.07,215.95,14.73,376.98,2.8,45.92
-0.11,89.83,1.2,0.99,0.38,7.89,25.03,6,0.88,197.92,13.54,395.46,3.14,50.18
0.22,90.04,3.06,-0.07,0.45,7.27,20.82,7.19,1.08,285.14,15.27,394.74,8.06,32.39
-0.18,55.02,2.22,-0.15,0.48,6.53,31.81,7.36,1.02,299.93,15.47,394.67,8.08,22.03
0,80.03,1.79,-0.18,0.35,6.28,31.35,9.21,1.05,240.92,18.17,341.66,12.73,20.1
0.1,52.37,5.35,-0.16,0.58,6.25,31.33,7.37,5.94,293.01,16.38,396.8,6.99,23.3
0.07,52.39,5.25,0.03,0.43,6.35,45.71,7.3,5.83,293.07,16.4,396.76,7.69,22.41
-0.02,52.61,5.42,0.05,0.45,6.37,22.95,7.26,6.05,292.99,16.6,371.54,9.62,24.72
0.01,80,4.93,-0.16,0.48,6.83,27.9,5.22,3.79,245.12,19.26,396.68,3.28,28.45
0.03,80.07,4.87,0.09,0.45,7.23,27.64,4.97,3.97,245.05,19.24,396.85,3.63,37.17
-0.02,80,5,-0.05,0.49,6.63,23.29,5.02,4.09,244.78,19.22,396.87,4.84,27.94
0.17,0,13.83,0.01,0.38,5.99,18.48,5.46,4.02,288.95,16.12,396.84,8.76,23.97
0.12,0.09,13.92,0.16,0.38,6,42.39,5.63,4.19,288.94,15.95,397.02,10.38,21.57
0.06,-0.05,13.92,0.09,0.33,6.85,30.95,6,4.1,289.05,16.09,397.02,6.04,28.55
0.14,0.01,14.03,-0.03,0.48,6.67,51.16,5.86,3.93,288.74,15.84,392.82,7.31,26.97
0.17,-0.05,13.97,-0.09,0.51,5.78,58.06,6.29,4,289.25,15.91,396.72,15.8,20.21
0.15,69.96,2.24,-0.22,0.45,6.44,20.24,7.77,5,358.05,14.62,368.18,4.94,22.56
0.12,69.97,2.32,-0.07,0.57,7,9.87,7.76,4.84,358.01,14.77,371.52,4.72,28.93
-0.04,70.02,2.38,-0.02,0.4,6.7,47.26,7.93,4.91,358.12,14.8,390.79,6.18,24.77
-0.02,33.95,6.15,-0.1,0.5,6.5,40.39,5.35,6.94,329.23,16.11,395.68,9.63,21.84
0.17,34.13,6.09,-0.01,0.32,6.65,18.45,5.65,6.8,329.09,16.11,383.54,8.65,26.42
0.16,33.91,5.96,0.01,0.39,6.95,17.88,5.57,7,329.09,16.01,390.39,4.97,33.1
0.05,32.98,2.07,-0.02,0.54,7.21,41.17,4.13,6.98,222.01,18.38,393.62,6.97,36.03
0.07,32.96,2.15,-0.07,0.56,6.59,58.08,3.32,6.83,221.99,18.25,393.38,8.94,28.38
0.2,33.14,2.12,0.02,0.44,7.61,71.8,3.08,7.04,221.95,18.54,396.94,6.56,33.42
-0.01,33.02,2.16,0.04,0.46,7.01,70.42,3.04,7.07,221.92,18.37,396.81,7.54,28.12
0.55,0.1,9.91,-0.11,0.39,6.86,82.4,3.27,4.02,303.93,18.35,397.03,4.75,22.65
0.33,-0.15,9.95,0.14,0.51,5.96,76.86,3.15,3.97,303.86,18.56,396.14,9.83,20.48
2.61,0.03,9.89,-0.01,0.63,5,37.77,2.65,4.06,303.99,18.28,350.29,12.59,16.04
0.9,0.09,9.95,0,0.6,5.97,52.96,2.53,4.07,303.83,18.29,396.94,5.97,22.09
0.34,0.01,9.91,0.07,0.59,6.17,90.47,2.8,4.03,304.02,18.29,396.22,11.76,19.5
0.35,0.11,9.7,0.02,0.55,6.15,82.79,3.25,3.92,304,18.39,393.42,8.03,21.95
0.5,-0.05,9.81,0.1,0.54,6.59,87.25,3.46,4.03,304.01,18.44,395.45,9.28,23.68
0.26,0.14,9.89,0.03,0.48,5.6,77.67,4,4.12,303.95,18.47,396.56,11.36,16.24
0.39,0.23,9.78,-0.06,0.61,5.86,83.24,3.93,3.94,304.31,18.66,390.77,18.41,17.73
0.21,-0.04,9.96,0.04,0.59,5.7,71.71,4.01,4.21,304.14,18.18,396.75,16.02,19.75
0.43,-0.04,10.05,-0.11,0.59,6.32,67.14,3.49,3.95,303.88,18.46,395.06,10.17,23.03
0.46,0.15,10.02,0.01,0.49,6.06,58.78,3.92,4,304.02,18.34,396.4,12.73,20.89
0.18,0.16,7.36,0,0.28,6.37,52.31,4.54,4.93,286.94,19.54,396.83,7.04,23.8
0.24,-0.05,7.53,-0.02,0.6,6.46,54.09,4.52,5.02,286.9,19.54,396.82,6.8,22.95
0.27,-0.04,7.39,-0.01,0.45,5.93,49.95,4.68,4.83,286.87,19.51,396.67,7.61,20.49
0.49,-0.03,7.35,-0.19,0.41,5.73,74.2,4.65,4.95,287.04,19.77,391.09,11.82,18.51
0.24,-0.13,7.32,-0.05,0.56,6.54,39.98,4.75,4.89,286.93,19.68,396.88,6.13,25.04
0.07,-0.09,7.35,0.01,0.45,6.38,14.53,5.58,5.01,287.1,19.6,393.75,4.95,24.55
0.42,-0.1,7.34,0.02,0.6,6.24,28.72,5.43,5.1,287.1,19.74,396.76,6.24,22.96
0.32,-0.08,7.4,-0.1,0.55,6.06,43.56,5.52,5.06,287.14,19.45,396.75,12.65,22.23
0.13,0,3.26,0.13,0.53,5.99,25.73,5.08,3.76,429.91,16.77,382.49,10,19.18
0.13,0.02,3.24,-0.09,0.32,6.35,17.4,5.23,4.2,430.05,16.68,375.31,7.26,22.56
0.04,0.16,3.28,0.1,0.58,6.09,32.15,5.76,4.03,430.06,16.83,368.41,9.05,19.71
-0.04,34.9,6.18,0.04,0.46,5.75,28.42,6.49,0.92,303.95,16.92,394.13,12.48,17.01
0.04,35.1,6.15,-0.06,0.4,5.92,23.34,6.57,1.02,303.92,16.91,362.25,7.88,19.19
-0.02,-0.02,5.04,0.18,0.53,6.38,38.11,6.58,5.02,224.16,20.21,389.82,5.81,22.33
0.13,0,4.93,-0.12,0.34,6.35,38.49,6.55,4.93,224.02,20.06,389.39,6.74,20.63
0.02,0.07,5.28,0.09,0.56,6.01,34.38,6.01,5.02,224.06,20.28,396.65,8.04,21.22
-0.05,-0.11,5.05,0.1,0.41,5.79,46.45,5.08,4.94,223.92,20.22,396.88,9.76,19.61
0,0.04,5.17,-0.07,0.38,5.81,59.78,5.6,4.96,223.88,20.27,394.92,10.58,18.37
0.07,0.02,5.07,0.14,0.36,6.11,37.13,4.84,4.93,223.94,20.01,396.05,8.55,20.49
0,0.05,5.01,-0.03,0.63,6.11,45.3,4.83,4.86,223.99,20.23,396.86,9.73,19.26
-0.02,0.03,5.24,0.03,0.45,5.9,58.47,4.63,5.01,223.89,20.08,396.88,9.11,18.88
0.04,35.25,1.6,0.03,0.6,7.29,49.2,6.95,1.06,284,15.46,394.45,5.52,32.7
0.05,-0.06,1.83,-0.01,0.46,6.33,59.75,6.26,1.05,421.83,15.95,390.13,8.69,16.53
-0.03,54.95,3.52,0.08,0.31,6.64,56.33,5.79,5.08,369.89,17.61,396.81,7.11,23.84
-0.02,54.94,3.73,0.08,0.37,6.87,28.32,6.25,5.03,370.07,17.51,388.02,4.48,31.24
0.05,-0.06,4.43,-0.17,0.57,5.92,48.62,8,2.95,352.06,18.8,385.63,10.68,17.43
-0.08,-0.06,4.24,0.13,0.43,5.8,52.32,8.03,3.08,351.96,18.65,364.74,12.72,17
-0.12,85.12,4.17,-0.17,0.37,6.45,27.8,8.62,3.86,350.9,18.02,392.47,6.34,22.97
-0.06,80.14,2.01,0.1,0.45,6.66,29.81,8.41,3.91,279.9,16.98,390.92,5.88,24.5
0.01,39.94,1.31,0.11,0.48,6.92,34.44,8.85,0.9,334.96,19.81,389.76,5.81,26.49
0.09,39.92,1.26,-0.11,0.54,6.27,44.32,8.71,1.11,335.06,19.65,396.98,6.11,22.89
0.23,60.05,1.59,-0.04,0.56,6.37,35.91,10.52,4.09,411.09,18.25,370.59,5.5,23.99
0.16,59.94,1.81,-0.11,0.38,5.82,18.59,10.67,4.05,410.95,18.22,392.39,7.73,18.52
0,90.06,2,-0.02,0.28,6.77,36.11,12.23,5.11,186.88,17.09,384.35,4.55,30.19
0.04,80.02,1.91,-0.03,0.37,5.39,21.74,10.73,3.91,334.03,21.93,382.93,7.97,18.22
0.01,79.85,1.82,0.08,0.44,5.89,19.42,10.66,4.03,333.92,22.06,376.06,5.72,20.6
8.98,0.15,18.06,1.13,0.67,6.16,97.39,2.17,23.99,665.95,20.16,377.79,17.74,17.89
3.82,0.18,18.01,1.14,0.67,6.53,90.99,2.54,24.08,666.13,20,391.35,13.22,21.75
5.23,-0.06,18.08,0.94,0.8,6.09,83.6,2.67,23.99,666.08,20.14,395.25,11.42,22.84
4.18,-0.04,18.27,-0.02,0.77,6.15,81.16,2.5,23.96,666.02,20.08,390.65,12.41,22.55
4.59,0.03,17.96,-0.17,0.77,6.41,88.05,2.69,24.05,665.87,20.2,374.63,7.64,24.96
3.99,0.03,17.94,-0.08,0.69,6.04,91.25,2.2,24.09,666.02,20.08,350.67,14.06,19.77
3.67,0.07,18.25,0.1,0.75,5.44,96.43,2.27,23.93,666.11,20.29,380.91,10.2,20.76
4.26,0.2,18.08,1.16,0.68,5.82,88.96,1.87,23.99,665.96,20.19,353.08,14.61,16.9
3.54,-0.02,18.03,0.88,0.81,8.83,82.95,2.04,23.89,666.14,20.18,354.45,5.16,22.03
4.52,-0.08,18.2,-0.06,0.82,3.95,87.96,1.47,23.75,666.13,20.27,354.62,7.09,27.6
3.72,-0.14,18.04,0,0.53,4.75,91.42,1.81,24.02,666.17,20.3,316.04,14.05,21.72
13.52,-0.07,18.28,0.03,0.54,4.04,99.99,1.44,24.06,666.03,20.2,131.19,13.38,23.21
4.91,0,18.17,-0.08,0.48,4.94,100.04,1.19,24.03,666.06,20.12,375.69,3.07,49.82
5.59,0.18,18.05,1.04,0.57,6.71,96.55,1.38,23.81,666.14,20.02,375.37,3.72,50.09
6.54,-0.05,18.32,0.95,0.62,7.01,97.57,1.3,23.96,666.04,20.13,392.17,2.82,49.96
9.28,0.02,18.04,0,0.49,6.17,100.01,1.08,23.78,665.95,20.14,365.99,9.62,50.07
8.41,0,18.17,1.05,0.58,5.82,89.58,0.98,24.14,665.96,20.21,348,8.96,49.87
11.2,0.12,18.13,0,0.57,4.94,100.2,1.17,23.89,666.02,20.17,397.12,34.68,13.92
18.71,0.25,18.23,-0.04,0.69,3.99,99.93,1.13,24.13,665.87,20.27,396.77,37.89,13.65
19.53,-0.05,18.26,-0.01,0.68,7.39,97.86,1.37,24.09,665.99,20.14,396.98,13.39,14.93
15.38,-0.05,18.1,-0.01,0.6,6.61,93.5,1.44,23.91,666.11,20.19,363.02,23.01,13.8
9.84,0.1,18.02,-0.04,0.69,6.68,98.72,1.35,23.89,665.78,20.32,396.75,21.27,13.12
23.87,0.07,18.15,-0.03,0.62,6.33,96.14,1.57,24.04,666.15,20.23,396.95,23.66,13.11
17.79,0.18,18.03,0.16,0.64,6.35,99.99,1.41,23.92,666.11,20.19,393.82,21.88,10.38
88.89,0.06,18.3,0.06,0.84,6.91,91.98,1.38,24.01,665.95,20.14,396.84,17.1,10.67
15.81,-0.04,18.11,-0.03,0.81,6.58,99.12,1.36,23.95,666.05,20.14,397.02,21.02,10.91
8.97,0.06,18.06,0.07,0.57,5.46,99.87,1.55,23.82,666,20.11,396.73,23.45,11.41
7.94,0.11,18.12,-0.03,0.78,5.6,99.95,1.5,23.78,666.12,20.15,396.75,24.46,12.32
20.01,0.08,17.97,0.12,0.78,4.44,91.14,1.54,24.02,666.1,20.28,285.84,30.51,8.85
16.83,0.05,18,0.04,0.59,5.46,98.09,1.47,23.94,665.86,20.18,396.9,30.91,7.17
24.43,0.11,18.22,-0.01,0.78,4.63,100.04,1.35,23.94,666.06,20.07,396.83,28.21,10.52
22.78,0.12,18.03,0.04,0.85,5.07,89.54,1.54,24.07,665.98,20.38,396.98,32,7.45
14.43,0.14,18,-0.16,0.59,4.89,99.82,1.66,24.12,666.01,20.23,372.97,30.58,10.14
8.09,0.06,18.15,-0.11,0.61,5.52,99.01,1.88,23.97,665.93,20.06,396.99,20.72,11.49
6.87,-0.02,18.22,-0.12,0.8,5.64,97.03,2.02,23.97,666.17,20.16,394.42,17.09,15.09
5.34,0.01,18.17,0.01,0.73,6.13,82.64,2.24,24.05,666.1,20.21,378.44,18.82,23.28
11.45,0.12,18.2,0.17,0.76,5.02,97.04,1.78,23.86,665.93,20.37,396.86,25.56,9.59
8.83,-0.08,18.02,0.22,0.73,6.19,92.71,1.83,24.02,665.87,20.09,397.11,15.25,13.79
13.48,0.04,17.96,0.06,0.73,5.9,94.75,1.91,24.06,665.96,20.3,396.82,16.27,12.89
8.67,-0.04,18.25,0.05,0.56,6.5,98.93,1.59,24.07,666.04,20.34,392.19,17.07,13.22
5.7,0,18.07,-0.18,0.8,6.39,96.05,1.64,23.81,666.02,20.14,396.9,19.42,12.63
7.81,0.13,18.07,-0.05,0.81,5.77,98.89,1.56,23.92,666.13,20.17,392.96,19.85,8.5
38.34,0.02,18.23,-0.08,0.67,5.61,100.23,1.53,23.91,666.08,20.1,397.04,30.59,5.03
10.04,0,18.16,-0.06,0.69,5.95,77.89,1.62,24.01,666.1,20.18,338.17,29.94,6.4
24.89,-0.14,18.15,-0.02,0.54,6.07,100.06,1.53,24.05,666.03,20.2,396.99,26.78,5.76
14.18,0.07,18.32,-0.05,0.74,6.3,99.87,1.34,24.15,665.86,20.27,397.02,20.08,7
9.6,0.06,18.04,-0.2,0.75,6.32,99.87,1.6,23.95,665.98,20.31,376.14,20.13,11.97
24.81,0.22,18.19,0.07,0.69,5.44,96.03,1.79,23.95,666.11,20.13,396.84,19.83,8.43
41.48,-0.03,18.11,-0.11,0.81,5.62,85.41,1.66,24.11,665.99,20,329.56,27.48,8.47
67.98,0.02,18.13,0.02,0.66,5.83,99.94,1.47,24.03,666.05,20.2,384.97,22.89,4.93
20.61,0.02,18.25,0.21,0.72,4.08,100.01,1.15,24.13,665.97,20.23,370.29,23.32,11.77
11.94,0.16,18.15,-0.09,0.56,5.59,100.16,1.16,24.03,665.9,20.22,331.87,12.16,27.84
7.42,-0.01,18.15,-0.25,0.59,5.45,97.97,1.51,23.88,665.99,20.17,314.68,26.47,17.06
14.49,0.03,18.21,-0.03,0.58,6.81,99.89,1.38,23.87,666.03,20.21,179.3,19.58,27.71
51.21,0.06,18.06,0.11,0.62,5.86,99.99,1.63,23.84,665.93,20.35,2.77,10.02,15
13.94,0.02,18.02,0.2,0.56,6.61,99.92,1.58,24.07,665.98,20.24,35.11,21.19,17.19
18.66,-0.04,18,-0.12,0.58,4.69,99.96,1.5,24.12,665.91,20.16,28.81,34.44,17.96
28.78,0.02,17.9,0.05,0.68,5.14,99.96,1.53,24.18,666.11,20.15,211.02,20.33,16.4
45.78,0.11,18.31,-0.05,0.65,4.55,99.95,1.65,24.08,665.97,20.18,88.17,36.96,7.09
18.01,-0.1,17.99,-0.01,0.52,6.32,99.87,1.81,24.12,666.15,20.36,27.41,28.91,7.31
10.99,0.01,18.08,0.26,0.85,6.79,90.79,1.93,23.94,666.15,20.18,21.77,25.83,7.44
25.95,-0.07,18.07,-0.15,0.82,5,89.04,1.67,23.88,665.99,20.2,127.4,26.77,10.37
73.65,0.12,18.13,0.03,0.55,5.94,99.71,1.73,24.09,665.9,20.15,16.61,20.63,8.88
11.82,-0.15,18.18,0.05,0.79,6.66,76.71,1.98,24.04,665.79,20.31,48.39,22.65,8.35
11.29,-0.06,18.19,0.11,0.67,6.53,100.11,1.86,24.01,665.85,20.4,318.67,15.12,16.7
7.2,0.04,18.04,0.01,0.74,6.08,95.26,1.95,24.04,665.86,20.25,319.98,15.77,14.24
12.02,0.16,18.08,0.03,0.64,5.69,87.6,1.89,24.03,666.14,20.21,291.59,14,20.88
7.15,-0.01,18.13,-0.04,0.59,6.26,84.98,2.06,24.13,666.01,20.2,2.48,23.33,13.22
8.86,-0.06,18.08,0.03,0.51,5.47,70.77,2.09,24.13,666.04,19.96,3.7,17.26,11.77
16,0.19,18.26,-0.03,0.61,6.07,95.59,1.72,24.05,665.78,20.27,7.71,24.51,8.28
12.15,-0.14,18.15,0.06,0.49,5.93,59.72,2.2,24.08,665.88,20.21,24.55,15.68,10.27
37.73,-0.22,18.17,-0.04,0.6,6.18,78.8,1.99,24.05,666.09,20.24,18.87,14.48,10.98
7.47,0.04,18.17,0.04,0.67,6.31,78.12,1.9,23.95,666.03,20.13,96.82,21.64,11.16
9.16,-0.05,18.22,0,0.61,6.27,95.47,1.86,24.08,665.99,20.16,60.74,23.96,9.64
8.37,-0.1,18.12,0.11,0.65,6.27,86.06,2.09,23.86,666.06,20.16,83.57,17.68,14.63
9.86,0.07,17.97,-0.01,0.73,6.77,94.31,2.1,24.11,666.16,20.3,81.21,19.55,14.24
6.42,0.02,18.14,-0.18,0.53,6.37,74.75,2.24,23.88,665.98,20.16,98,12.14,16.13
5.65,-0.06,18.03,0.13,0.74,6.33,87.88,2.33,24.03,666.01,20.41,100.07,16.19,14.3
14.06,-0.13,18.05,-0.09,0.76,6.33,94.99,2.27,23.92,666.02,20.24,100.52,15.3,11.79
11.17,0.09,18.16,-0.07,0.79,6.6,94.59,2.27,24.06,666.24,20.07,109.79,23.32,13.47
14.58,0.07,18.22,-0.06,0.75,6.5,93.31,2.06,24,665.79,20.19,27.4,17.93,9.57
15.04,-0.01,18.1,0.14,0.81,6.09,99.89,1.81,23.84,666.07,20.13,9.27,26.59,8.74
13.51,0.18,18.13,-0.21,0.79,5.75,87.83,1.96,24.04,665.99,19.98,68.93,34.18,8.4
9.39,-0.11,18.27,0.31,0.62,5.65,93.77,1.98,23.94,666.06,20.36,396.98,22.97,12.71
22.09,-0.15,18.12,0.11,0.83,5.63,92.5,2.18,24.09,665.93,20.27,391.42,22.03,10.63
9.72,-0.07,18.36,0.02,0.83,6.4,96.99,1.95,24,666,20.25,385.8,19.49,17.11
5.46,0,18.16,-0.01,0.66,6.08,100.12,2.03,24.04,666.07,20.22,395.8,16.6,18.6
9.96,0.02,17.92,0.03,0.74,6.68,100.14,1.77,23.9,666.31,20.06,386.65,18.78,15.24
12.67,-0.02,18.18,0.05,0.81,5.95,96.57,1.95,23.94,666.08,20.15,240.51,23.96,10.74
10.74,0.04,18.14,0.06,0.72,6.47,94.54,1.93,23.95,665.92,20.28,43.1,23.99,11.8
6.32,-0.13,18.23,0.06,0.85,6.47,96.36,2.26,24.09,665.96,20.09,318.03,17.52,15.01
9.83,0.14,18.17,0.01,0.98,6.17,96.59,2.12,24.17,665.95,19.95,388.63,16.47,12.64
9.28,-0.01,18.09,-0.02,0.63,6.24,98.6,2.09,23.92,665.82,20.18,396.95,18.1,14.13
7.42,0.11,17.98,-0.02,0.57,6.44,98.25,2.14,24.11,665.97,20.19,304.12,19.3,12.89
6.71,0.03,18.08,-0.02,0.74,6.78,92.75,2.13,23.78,666.07,20.21,0.54,17.4,13.28
5.54,0.05,18.01,0.11,0.79,6.78,98.27,2.43,23.88,665.87,20.27,355.31,17.81,15.23
4.99,0.06,18.04,0.06,0.69,6.37,91.71,2.16,23.9,666.1,20.26,385.08,17.38,15.96
8.3,0.04,18.16,-0.29,0.86,7.42,99.14,2.46,23.86,666.05,20.23,375.97,16.77,17.75
9.46,0.06,18.27,0.07,0.58,6.56,94.07,2.29,23.84,665.93,20.32,6.7,18.68,14.95
4.67,0.13,18.14,0.02,0.78,6.43,86.48,2.4,24.04,665.99,20.05,50.96,18.13,14
4.66,0.02,17.98,0,0.65,5.96,87.95,2.74,23.98,666.16,20.25,10.73,19.01,12.86
8.1,0.07,18.14,-0.04,0.88,5.95,80.25,2.82,24.04,666.07,20.26,3.47,16.86,13.62
7.7,-0.01,18.22,0.11,0.91,6.19,83.75,2.7,24.07,666,20.08,272.18,16.29,14.74
6.68,0.14,18.04,0.09,0.64,6.32,84.59,2.71,24.03,665.98,20.05,396.91,14.75,19.91
5.01,-0.07,18.09,-0.08,0.66,6.85,90.08,2.6,24.07,666.01,20.13,255.34,16.57,16.17
3.7,0.18,18.1,0.04,0.8,6.44,88.4,2.61,23.99,665.95,20.13,391.28,14.78,17.62
6.58,0,18.02,-0.1,0.67,6.32,82.98,2.6,23.88,665.79,20.28,396.7,13.92,19.58
5.84,-0.14,18.16,-0.14,0.71,6.49,89.86,2.86,24.11,666.2,20.14,393.76,10.37,20.16
7.83,0.01,18.09,-0.06,0.66,6.11,65.52,2.69,23.94,666.02,20.11,396.74,13.12,21.45
3.14,-0.07,18.14,0.09,0.46,5.77,48.14,3,23.91,666.04,20.14,334.36,14.2,19.75
3.84,0.08,18.01,0.1,0.65,5.98,84.7,2.82,23.98,665.99,20.31,22.06,17.1,19.08
4.5,-0.07,18.06,0.05,0.52,5.88,94.51,2.6,23.91,665.93,20.2,331.2,21.22,19.04
15.52,-0.04,18.17,0.07,0.53,5.96,70.95,2.91,23.96,665.98,20.18,368.6,18.16,19.1
13.02,-0.19,18.06,0.05,0.72,5.7,56.56,2.68,24.03,665.84,20.19,396.91,14.49,20.09
4.32,-0.05,18.27,-0.06,0.45,5.98,84.03,2.93,24.03,666.23,20.33,396.99,16.11,19.77
3.81,-0.24,18.06,0.04,0.61,6.14,90.69,3.12,23.91,665.88,20.13,395.16,12.85,19.48
3.42,-0.16,18.12,0.08,0.55,6.4,75.05,2.89,23.95,665.9,20.33,393.45,14.37,23.3
4.78,0.08,18.19,0.08,0.59,7.17,67.55,2.47,24.11,665.96,20.22,374.76,11.62,29.84
8.22,0.08,17.96,0.12,0.66,5.48,95.52,2.38,24.05,666.13,20.18,352.68,17.98,13.91
6.37,0.04,17.92,0.07,0.62,6.03,97.31,2.28,24.21,666,20.45,302.88,24.02,13.33
4.93,-0.1,17.95,0.04,0.67,6.53,93.77,2.25,24.12,665.88,20.09,396.43,18.72,16.71
15.05,0,18.23,0.11,0.71,5.15,97.13,2.09,24.11,666.13,20.16,349.44,24.97,11.83
10.54,0,18.04,0,0.58,6.29,96.74,2.39,23.86,666.07,20.08,379.71,18.03,14.57
14.45,-0.12,18.36,-0.09,0.55,6.18,88.05,1.81,24.08,666.05,20.3,383.28,13.23,21.4
5.81,0.15,18.04,-0.02,0.42,6.23,64.62,3.24,23.99,666.07,20.37,396.9,10.78,23.2
5.61,0.09,18.12,-0.07,0.45,6.88,74.94,3.41,23.94,666.24,20.37,393.22,7.67,23.77
5.57,-0.02,18.25,-0.07,0.83,6.93,77.13,3.34,24.02,666.22,20.32,395.15,6.98,25.15
2.84,0,18.3,-0.01,0.66,5.62,40.08,4.07,24.09,665.93,20.18,392.83,10.28,21.86
2.3,0.02,18.31,-0.08,0.45,5.81,41.95,3.65,24.05,666.16,20.16,370.87,13.33,20.53
3.53,-0.2,18.22,-0.03,0.45,6.42,51.65,3.97,23.91,666.04,20.03,388.72,10.69,21.21
5.63,-0.02,18.2,-0.19,0.63,5.96,79.7,3.71,24.07,666.05,20.4,392.64,15.05,19.12
4.73,-0.07,18.16,0.02,0.64,5.62,53.36,3.23,23.94,665.83,20.25,388.31,11.59,20.51
0.32,-0.1,27.82,0,0.66,5.41,92.64,1.91,4.02,710.98,20.05,395.12,18.03,15.16
0.27,-0.03,27.68,-0.08,0.58,5.47,98.18,1.61,3.97,710.92,20.23,344.2,24.1,6.98
0.21,0.18,27.66,0.07,0.6,5.21,97.98,1.71,3.98,711.08,20,318.44,29.66,8.26
